Date,Dividend
11/30/2022,0.44
09/15/2022,0.44
06/14/2022,0.44
03/14/2022,0.44
11/30/2021,0.42
09/14/2021,0.42
06/14/2021,0.42
03/12/2021,0.42
11/30/2020,0.41
09/14/2020,0.41
06/12/2020,0.41
03/13/2020,0.41
