Date,Close?,,,,,,,
12/30/2022,63.61,,,,,,,
12/29/2022,63.95,,,,,,,
12/28/2022,63.57,,,,,,,
12/27/2022,64.21,,,,,,,
12/23/2022,63.82,,,,,,,
12/22/2022,63.34,,,,,,,
12/21/2022,63.8,,,,,,,
12/20/2022,62.79,,,,,,,
12/19/2022,62.84,,,,,,,
12/16/2022,62.75,,,,,,,
12/15/2022,63.11,,,,,,,
12/14/2022,63.99,,,,,,,
12/13/2022,63.99,,,,,,,
12/12/2022,63.97,,,,,,,
12/09/2022,63.14,,,,,,,
12/08/2022,63.81,,,,,,,
12/07/2022,63.54,,,,,,,
12/06/2022,63.44,,,,,,,
12/05/2022,63.47,,,,,,,
12/02/2022,64.35,,,,,,,
12/01/2022,63.79,,,,,,,
11/30/2022,63.61,,,,,,,
11/29/2022,62.48,,,,,,,
11/28/2022,62.7,,,,,,,
11/25/2022,62.69,,,,,,,
11/23/2022,62.63,,,,,,,
11/22/2022,62.35,,,,,,,
11/21/2022,62.08,,,,,,,
11/18/2022,61.14,,,,,,,
11/17/2022,60.71,,,,,,,
11/16/2022,60.52,,,,,,,
11/15/2022,60.63,,,,,,,
11/14/2022,60.73,,,,,,,
11/11/2022,61.32,,,,,,,
11/10/2022,60.88,,,,,,,
11/09/2022,58.77,,,,,,,
11/08/2022,59.6,,,,,,,
11/07/2022,59.49,,,,,,,
11/04/2022,59.26,,,,,,,
11/03/2022,58.78,,,,,,,
11/02/2022,58.81,,,,,,,
11/01/2022,59.64,,,,,,,
10/31/2022,59.85,,,,,,,
10/28/2022,60.76,,,,,,,
10/27/2022,59.53,,,,,,,
10/26/2022,59.39,,,,,,,
10/25/2022,58.95,,,,,,,
10/24/2022,57.57,,,,,,,
10/21/2022,55.96,,,,,,,
10/20/2022,55.08,,,,,,,
10/19/2022,55.96,,,,,,,
10/18/2022,56.44,,,,,,,
10/17/2022,55.69,,,,,,,
10/14/2022,54.98,,,,,,,
10/13/2022,55.87,,,,,,,
10/12/2022,55.14,,,,,,,
10/11/2022,54.48,,,,,,,
10/10/2022,54.39,,,,,,,
10/07/2022,54.51,,,,,,,
10/06/2022,55.03,,,,,,,
10/05/2022,56.24,,,,,,,
10/04/2022,56.78,,,,,,,
10/03/2022,56.65,,,,,,,
09/30/2022,56.02,,,,,,,
09/29/2022,56.57,,,,,,,
09/28/2022,56.98,,,,,,,
09/27/2022,56.38,,,,,,,
09/26/2022,57.87,,,,,,,
09/23/2022,58.6,,,,,,,
09/22/2022,59.26,,,,,,,
09/21/2022,59.4,,,,,,,
09/20/2022,59.9,,,,,,,
09/19/2022,59.99,,,,,,,
09/16/2022,59.54,,,,,,,
09/15/2022,59.53,,,,,,,
09/14/2022,60.79,,,,,,,
09/13/2022,60.47,,,,,,,
09/12/2022,62.5,,,,,,,
09/09/2022,62.32,,,,,,,
09/08/2022,62.12,,,,,,,
09/07/2022,62.31,,,,,,,
09/06/2022,61.18,,,,,,,
09/02/2022,61.15,,,,,,,
09/01/2022,62,,,,,,,
08/31/2022,61.71,,,,,,,
08/30/2022,62.15,,,,,,,
08/29/2022,62.73,,,,,,,
08/26/2022,63.11,,,,,,,
08/25/2022,64.67,,,,,,,
08/24/2022,64.36,,,,,,,
08/23/2022,64.27,,,,,,,
08/22/2022,64.2,,,,,,,
08/19/2022,65.17,,,,,,,
08/18/2022,65.22,,,,,,,
08/17/2022,64.88,,,,,,,
08/16/2022,65.03,,,,,,,
08/15/2022,64.5,,,,,,,
08/12/2022,63.7,,,,,,,
08/11/2022,63.22,,,,,,,
08/10/2022,63.65,,,,,,,
08/09/2022,63.05,,,,,,,
08/08/2022,62.97,,,,,,,
08/05/2022,63.38,,,,,,,
08/04/2022,63.67,,,,,,,
08/03/2022,63.92,,,,,,,
08/02/2022,63.64,,,,,,,
08/01/2022,64.52,,,,,,,
07/29/2022,64.17,,,,,,,
07/28/2022,64.06,,,,,,,
07/27/2022,63.01,,,,,,,
07/26/2022,63.21,,,,,,,
07/25/2022,62.19,,,,,,,
07/22/2022,61.59,,,,,,,
07/21/2022,61.36,,,,,,,
07/20/2022,61.5,,,,,,,
07/19/2022,62.53,,,,,,,
07/18/2022,61.65,,,,,,,
07/15/2022,62.5,,,,,,,
07/14/2022,62.18,,,,,,,
07/13/2022,62.38,,,,,,,
07/12/2022,62.67,,,,,,,
07/11/2022,62.94,,,,,,,
07/08/2022,63.14,,,,,,,
07/07/2022,62.91,,,,,,,
07/06/2022,63.41,,,,,,,
07/05/2022,63.28,,,,,,,
07/01/2022,64.38,,,,,,,
06/30/2022,62.91,,,,,,,
06/29/2022,62.73,,,,,,,
06/28/2022,62.28,,,,,,,
06/27/2022,62.91,,,,,,,
06/24/2022,63.04,,,,,,,
06/23/2022,61.88,,,,,,,
06/22/2022,61.15,,,,,,,
06/21/2022,60.7,,,,,,,
06/17/2022,59.43,,,,,,,
06/16/2022,59.07,,,,,,,
06/15/2022,59.67,,,,,,,
06/14/2022,59.23,,,,,,,
06/13/2022,61.34,,,,,,,
06/10/2022,61.41,,,,,,,
06/09/2022,61.8,,,,,,,
06/08/2022,62.89,,,,,,,
06/07/2022,63.25,,,,,,,
06/06/2022,62.87,,,,,,,
06/03/2022,62.97,,,,,,,
06/02/2022,63.73,,,,,,,
06/01/2022,63.07,,,,,,,
05/31/2022,63.38,,,,,,,
05/27/2022,64.68,,,,,,,
05/26/2022,64.3,,,,,,,
05/25/2022,64.07,,,,,,,
05/24/2022,64.02,,,,,,,
05/23/2022,62.86,,,,,,,
05/20/2022,60.98,,,,,,,
05/19/2022,60,,,,,,,
05/18/2022,61.2,,,,,,,
05/17/2022,65.78,,,,,,,
05/16/2022,65.96,,,,,,,
05/13/2022,65.72,,,,,,,
05/12/2022,64.51,,,,,,,
05/11/2022,64.31,,,,,,,
05/10/2022,64.01,,,,,,,
05/09/2022,64.61,,,,,,,
05/06/2022,64.74,,,,,,,
05/05/2022,64.51,,,,,,,
05/04/2022,65.03,,,,,,,
05/03/2022,63.08,,,,,,,
05/02/2022,63.44,,,,,,,
04/29/2022,64.61,,,,,,,
04/28/2022,66.19,,,,,,,
04/27/2022,65.56,,,,,,,
04/26/2022,65.05,,,,,,,
04/25/2022,65.94,,,,,,,
04/22/2022,65.25,,,,,,,
04/21/2022,66.21,,,,,,,
04/20/2022,65.96,,,,,,,
04/19/2022,65.07,,,,,,,
04/18/2022,64.44,,,,,,,
04/14/2022,65.02,,,,,,,
04/13/2022,64.73,,,,,,,
04/12/2022,64.56,,,,,,,
04/11/2022,63.81,,,,,,,
04/08/2022,63.83,,,,,,,
04/07/2022,63.44,,,,,,,
04/06/2022,63.1,,,,,,,
04/05/2022,62.47,,,,,,,
04/04/2022,62.54,,,,,,,
04/01/2022,62.87,,,,,,,
03/31/2022,62,,,,,,,
03/30/2022,62.21,,,,,,,
03/29/2022,62.16,,,,,,,
03/28/2022,61.92,,,,,,,
03/25/2022,61.53,,,,,,,
03/24/2022,60.98,,,,,,,
03/23/2022,60.4,,,,,,,
03/22/2022,60.8,,,,,,,
03/21/2022,60.58,,,,,,,
03/18/2022,60.1,,,,,,,
03/17/2022,60.09,,,,,,,
03/16/2022,59.46,,,,,,,
03/15/2022,59.62,,,,,,,
03/14/2022,58.54,,,,,,,
03/11/2022,57.92,,,,,,,
03/10/2022,57.88,,,,,,,
03/09/2022,58.96,,,,,,,
03/08/2022,58.66,,,,,,,
03/07/2022,61.08,,,,,,,
03/04/2022,62.57,,,,,,,
03/03/2022,62.47,,,,,,,
03/02/2022,62.43,,,,,,,
03/01/2022,61.97,,,,,,,
02/28/2022,62.24,,,,,,,
02/25/2022,62.85,,,,,,,
02/24/2022,60.51,,,,,,,
02/23/2022,61.59,,,,,,,
02/22/2022,62.28,,,,,,,
02/18/2022,62.54,,,,,,,
02/17/2022,62.12,,,,,,,
02/16/2022,60.9,,,,,,,
02/15/2022,60.91,,,,,,,
02/14/2022,60.68,,,,,,,
02/11/2022,60.29,,,,,,,
02/10/2022,61.38,,,,,,,
02/09/2022,61.04,,,,,,,
02/08/2022,62,,,,,,,
02/07/2022,61.6,,,,,,,
02/04/2022,60.96,,,,,,,
02/03/2022,61.61,,,,,,,
02/02/2022,61.18,,,,,,,
02/01/2022,60.56,,,,,,,
01/31/2022,61.01,,,,,,,
01/28/2022,60.84,,,,,,,
01/27/2022,59.65,,,,,,,
01/26/2022,59.6,,,,,,,
01/25/2022,59.82,,,,,,,
01/24/2022,59.96,,,,,,,
01/21/2022,60.45,,,,,,,
01/20/2022,60.75,,,,,,,
01/19/2022,61,,,,,,,
01/18/2022,60.9,,,,,,,
01/14/2022,61.39,,,,,,,
01/13/2022,60.9,,,,,,,
01/12/2022,60.54,,,,,,,
01/11/2022,60.45,,,,,,,
01/10/2022,60.43,,,,,,,
01/07/2022,60.33,,,,,,,
01/06/2022,60.47,,,,,,,
01/05/2022,60.79,,,,,,,
01/04/2022,60.29,,,,,,,
01/03/2022,59.3,,,,,,,
12/31/2021,59.21,,,,,,,
12/30/2021,58.78,,,,,,,
12/29/2021,58.95,,,,,,,
12/28/2021,58.88,,,,,,,
12/27/2021,58.65,,,,,,,
12/23/2021,58.22,,,,,,,
12/22/2021,58.18,,,,,,,
12/21/2021,57.77,,,,,,,
12/20/2021,57.54,,,,,,,
12/17/2021,57.73,,,,,,,
12/16/2021,58.65,,,,,,,
12/15/2021,58.06,,,,,,,
12/14/2021,57.8,,,,,,,
12/13/2021,57.76,,,,,,,
